,seq3139@10,seq9785@12,naive,seq997@4,seq10542@8,seq10631@9,seq12823@5,seq2703@7,seq5118@13,seq6355@32,seq581@9,seq876@29,seq2948@8,seq883@32,seq3216@7,seq2425@10,seq387@21,seq1882@7,seq648@7,seq1455@25,seq103@72,seq696@51,seq8992@44,seq3311@22,seq2110@21,seq5311@17,seq3430@16,seq1817@15,seq717@11,seq209@10,seq2243@10,seq17535@5,seq35708@5,seq12890@9,seq2@15214,seq190@254,seq313@187,seq4295@9,seq2604@4,seq8258@4,seq8614@12,seq18788@4,seq340@131,seq1878@24,seq2432@8,seq4024@4
seq581@9,0.9515151515151514,0.9757575757575757,0.9878787878787878,0.7454545454545454,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.7454545454545454,0.9757575757575757,1.0,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.8181818181818182,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9515151515151514,0.9999999999999999,0.7454545454545454,0.7333333333333332,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7454545454545454,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.7454545454545454,0.9757575757575757,0.9757575757575757,0.9757575757575757,0.7333333333333332
seq876@29,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq2948@8,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq883@32,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq3216@7,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq2425@10,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.7454545454545454,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq387@21,0.6969696969696969,0.7333333333333332,0.8060606060606059,0.9878787878787878,0.8060606060606059,0.7454545454545454,0.7333333333333332,0.7454545454545454,0.9878787878787878,0.7333333333333332,0.8181818181818182,0.7454545454545454,0.7454545454545454,0.7454545454545454,0.7454545454545454,0.7454545454545454,1.0,0.8181818181818182,0.7454545454545454,0.8181818181818182,0.709090909090909,0.8181818181818182,0.9878787878787878,0.9757575757575757,0.7454545454545454,0.7454545454545454,0.7333333333333332,0.8181818181818182,0.7454545454545454,0.7454545454545454,0.8060606060606059,0.9878787878787878,0.7333333333333332,0.8787878787878788,0.8666666666666665,0.7454545454545454,0.8060606060606059,0.7454545454545454,0.7333333333333332,0.7454545454545454,0.7333333333333332,0.9878787878787878,0.7333333333333332,0.7333333333333332,0.7333333333333332,0.9757575757575757
seq1882@7,0.9515151515151514,0.9757575757575757,0.9878787878787878,0.7454545454545454,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.7454545454545454,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.8181818181818182,1.0,0.9878787878787878,0.9999999999999999,0.9515151515151514,0.9999999999999999,0.7454545454545454,0.7333333333333332,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7454545454545454,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.7454545454545454,0.9757575757575757,0.9757575757575757,0.9757575757575757,0.7333333333333332
seq648@7,0.9636363636363635,0.9878787878787878,0.9757575757575757,0.6606060606060605,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7454545454545454,0.9878787878787878,1.0,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.6606060606060605,0.6484848484848483,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.6606060606060605,0.9878787878787878,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.6606060606060605,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.6484848484848483
seq1455@25,0.9515151515151514,0.9757575757575757,0.9878787878787878,0.7454545454545454,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.7454545454545454,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.8181818181818182,0.9999999999999999,0.9878787878787878,1.0,0.9515151515151514,0.9999999999999999,0.7454545454545454,0.7333333333333332,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.7454545454545454,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.7454545454545454,0.9757575757575757,0.9757575757575757,0.9757575757575757,0.7333333333333332
